Seria pomiarowa: 3 (południe, kąt 35 stopni)
Opis serii pomiarowej: Małe zachmurzenie, sztywne ustawienie na południe (kąt 35 stopni)
Data: 03.10.2021, Godzina poczatkowa: 7:30, Godzina koncowa: 17:33
Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,3931,3.26,9.77,12.56,3.92
2,4770,3.26,9.77,12.56,3.90
3,5611,3.26,9.78,12.50,3.89
4,6452,3.26,9.77,12.50,3.88
5,7291,3.56,10.69,12.50,3.94
6,8133,3.33,9.99,12.50,4.00
7,8974,3.32,9.97,12.50,3.91
8,9814,3.24,9.72,12.44,3.87
9,10654,3.21,9.62,12.44,3.87
10,11498,3.30,9.91,12.44,3.87
11,12341,3.43,10.29,12.38,3.87
12,13185,3.22,9.66,12.38,3.87
13,14027,3.24,9.71,12.38,3.87
14,14869,3.21,9.62,12.31,3.87
15,15712,3.13,9.38,12.31,3.87
16,16555,3.33,9.99,12.31,3.87
17,17397,3.22,9.66,12.31,3.87
18,18239,3.21,9.62,12.31,3.87
19,19082,3.23,9.68,12.25,3.87
20,19924,3.23,9.68,12.25,3.87
21,20767,3.24,9.72,12.19,3.87
22,21609,3.23,9.68,12.19,3.87
23,22452,3.15,9.44,12.19,3.87
24,23294,3.21,9.62,12.13,3.87
25,24137,3.21,9.62,12.13,3.87
26,24982,3.08,9.25,12.13,3.87
27,25825,3.18,9.55,12.06,3.87
28,26668,3.31,9.93,12.06,3.87
29,27509,3.12,9.35,12.06,3.87
30,28352,3.27,9.81,12.06,3.87
31,29195,3.20,9.60,12.00,3.87
32,30038,3.17,9.50,12.00,3.87
33,30879,3.23,9.68,12.00,3.87
34,31722,3.37,10.10,11.94,3.87
35,32566,3.18,9.53,11.94,3.87
36,33409,3.09,9.27,11.94,3.87
37,34250,3.26,9.77,11.94,3.87
38,35093,3.23,9.69,11.88,3.87
39,35936,3.22,9.65,11.88,3.87
40,36779,3.20,9.59,11.88,3.87
41,37620,3.25,9.75,11.88,3.87
42,38463,3.19,9.56,11.81,3.87
43,39308,3.28,9.84,11.81,3.87
44,40151,3.20,9.59,11.81,3.87
45,40993,3.21,9.63,11.75,3.87
46,41836,3.25,9.75,11.75,3.87
47,42678,3.48,10.45,11.75,3.87
48,43522,3.24,9.72,11.75,3.87
49,44364,3.19,9.57,11.75,3.87
50,45207,3.25,9.75,11.69,3.87
51,46049,3.25,9.74,11.69,3.87
52,46892,3.42,10.26,11.69,3.87
53,47735,3.12,9.35,11.69,3.87
