Seria pomiarowa: 4 (obracanie i wychylanie)
Opis serii pomiarowej: Małe zachmurzenie, obracanie i wychylanie
Data: 05.10.2021, Godzina poczatkowa: 7:30, Godzina koncowa: 17:39
Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,3916,3.08,9.25,13.50,4.13
2,4865,3.38,10.15,13.50,4.13
3,5815,2.91,8.72,13.44,4.12
4,6763,3.40,10.19,13.38,4.10
5,7712,3.22,9.66,13.25,4.09
6,8662,3.27,9.82,13.19,4.08
7,9610,3.34,10.01,13.13,4.06
8,10559,2.99,8.96,13.06,4.04
9,11509,3.12,9.35,12.94,4.02
10,12462,2.95,8.84,12.88,4.01
11,13412,3.25,9.74,12.81,3.98
12,14363,3.48,10.45,12.75,3.95
13,15314,3.26,9.79,12.75,3.91
14,16266,3.35,10.04,12.69,3.88
15,17217,3.37,10.12,12.63,4.15
16,18168,2.97,8.90,12.56,4.17
17,19120,3.42,10.26,12.50,4.16
18,20071,3.12,9.35,12.50,4.16
19,21022,3.10,9.31,12.44,4.15
20,21972,3.32,9.96,12.38,4.15
21,22923,3.41,10.23,12.31,4.14
22,23875,3.14,9.43,12.31,4.13
23,24825,3.40,10.21,12.25,4.11
24,25778,3.11,9.33,12.25,4.10
25,26728,3.29,9.87,12.19,4.08
26,27681,3.44,10.31,12.13,4.06
27,28634,3.00,8.99,12.06,4.05
28,29584,3.24,9.72,12.06,4.03
29,30535,3.15,9.44,12.00,4.01
30,31485,3.31,9.94,11.94,3.98
31,32436,2.99,8.96,11.94,3.95
32,33387,3.09,9.27,11.88,3.93
33,34337,3.06,9.18,11.88,3.91
34,35289,3.45,10.34,11.81,3.89
35,36240,3.28,9.85,11.81,3.87
36,37190,3.44,10.32,11.75,3.85
37,38142,3.26,9.78,11.75,3.83
38,39093,3.49,10.48,11.69,3.81
39,40045,3.34,10.01,11.69,3.79
40,40996,3.33,9.99,11.69,3.77
41,41947,3.26,9.78,11.63,3.75
42,42901,3.53,10.59,11.63,3.74
43,43852,3.27,9.81,11.63,3.72
44,44804,3.58,10.73,11.63,3.70
45,45755,3.38,10.15,11.56,3.69
46,46706,3.42,10.25,11.56,3.68
47,47659,3.30,9.90,11.56,3.67
48,48609,3.51,10.54,11.56,3.67
49,49561,3.61,10.82,11.50,3.70
50,50512,3.56,10.69,11.50,3.75
51,51465,3.34,10.03,11.50,3.78
52,52416,3.46,10.38,11.50,3.80
53,53368,3.35,10.04,11.50,3.81
54,54320,3.55,10.66,11.44,3.81
55,55271,3.68,11.04,11.44,3.81
56,56223,3.39,10.16,11.44,3.80
57,57175,3.53,10.60,11.44,3.80
58,58125,3.60,10.79,11.50,3.79
59,59076,3.35,10.06,11.50,3.79
60,60028,3.51,10.54,11.50,3.78
61,60980,3.48,10.44,11.56,3.78
62,61931,3.48,10.44,11.56,3.77
63,62883,3.66,10.97,11.56,3.76
64,63835,3.40,10.21,11.56,3.75
65,64787,3.69,11.07,11.56,3.75
66,65738,3.35,10.06,11.56,3.74
67,66691,3.14,9.43,11.63,3.73
68,67641,3.19,9.57,11.63,3.72
69,68591,3.84,11.51,11.63,3.71
70,69543,3.42,10.26,11.69,3.70
71,70495,3.52,10.56,11.69,3.70
72,71447,4.34,13.02,11.69,3.69
73,72398,2.82,8.46,11.69,3.68
74,73350,3.69,11.06,11.75,3.67
75,74304,2.76,8.27,11.75,3.66
76,75254,3.72,11.16,11.75,3.66
77,76207,3.61,10.82,11.75,3.64
78,77158,3.47,10.40,11.75,3.64
79,78110,3.45,10.34,11.75,3.63
80,79062,3.58,10.73,11.81,3.58
81,80014,3.73,11.19,11.81,3.48
