Seria pomiarowa: 4 (obracanie i wychylanie)
Opis serii pomiarowej: Brak zachmurzenia, obracanie i wychylanie
Data: 09.10.2021, Godzina poczatkowa: 7:30, Godzina koncowa: 17:22
Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,3974,3.55,10.66,8.75,3.63
2,4922,3.62,10.85,8.75,3.62
3,5870,3.78,11.35,8.75,3.61
4,6819,3.77,11.30,8.75,3.60
5,7768,3.40,10.19,8.81,3.59
6,8716,3.72,11.16,8.81,3.58
7,9665,3.83,11.50,8.81,3.57
8,10613,3.30,9.91,8.81,3.56
9,11561,3.48,10.45,8.81,3.55
10,12515,3.86,11.57,8.81,3.54
11,13465,3.71,11.13,8.88,3.53
12,14416,3.81,11.44,8.88,3.53
13,15367,3.68,11.03,8.88,3.51
14,16317,3.66,10.98,8.94,3.50
15,17268,3.38,10.13,8.94,3.48
16,18219,3.33,9.99,8.94,3.46
17,19169,3.84,11.51,8.94,3.33
18,20119,3.46,10.37,8.94,3.23
19,21070,3.38,10.15,9.00,3.16
20,22021,3.96,11.88,9.00,3.13
21,22863,3.82,11.45,9.00,3.13
22,23706,3.59,10.76,9.06,3.13
23,24549,3.30,9.90,9.06,3.13
24,25391,3.54,10.62,9.06,3.13
25,26232,3.65,10.95,9.13,3.13
26,27078,3.69,11.07,9.13,3.13
27,27921,3.59,10.76,9.13,3.13
28,28764,3.61,10.84,9.13,3.13
29,29606,3.42,10.26,9.13,3.13
30,30449,3.86,11.57,9.13,3.13
31,31292,3.34,10.03,9.19,3.13
32,32135,3.56,10.69,9.19,3.13
33,32977,3.75,11.26,9.19,3.13
34,33820,3.89,11.66,9.25,3.13
35,34662,3.34,10.01,9.25,3.13
36,35505,3.72,11.16,9.25,3.13
37,36347,3.58,10.73,9.25,3.13
38,37190,3.81,11.42,9.31,3.13
39,38033,3.52,10.56,9.31,3.13
40,38876,3.31,9.94,9.31,3.13
41,39717,3.69,11.07,9.38,3.13
42,40560,3.65,10.95,9.38,3.13
43,41405,3.40,10.21,9.38,3.13
44,42248,3.83,11.50,9.44,3.13
45,43090,3.29,9.88,9.44,3.13
46,43932,3.66,10.97,9.44,3.13
47,44775,3.47,10.40,9.50,3.13
48,45618,3.42,10.25,9.50,3.13
49,46460,3.52,10.57,9.50,3.13
50,47303,3.32,9.97,9.50,3.13
51,48145,3.77,11.30,9.56,3.13
52,48988,3.33,9.99,9.56,3.13
53,49829,3.77,11.30,9.56,3.13
54,50671,3.78,11.35,9.56,3.13
55,51514,3.50,10.50,9.63,3.13
56,52357,3.67,11.01,9.63,3.13
57,53199,3.66,10.98,9.63,3.13
58,54042,3.79,11.38,9.63,3.12
59,54885,3.66,10.97,9.69,3.13
60,55731,3.70,11.11,9.69,3.13
61,56573,3.74,11.23,9.69,3.13
62,57415,3.72,11.16,9.75,3.13
63,58258,3.72,11.16,9.75,3.13
64,59101,3.83,11.48,9.75,3.13
65,59943,3.48,10.44,9.75,3.13
66,60786,3.75,11.26,9.75,3.13
67,61629,3.31,9.94,9.75,3.12
68,62471,3.81,11.42,9.81,3.12
69,63313,3.79,11.38,9.81,3.13
70,64156,3.41,10.23,9.81,3.12
71,64999,3.70,11.11,9.81,3.12
72,65842,3.61,10.84,9.88,3.12
73,66683,3.80,11.41,9.88,3.12
74,67526,3.52,10.56,9.88,3.12
75,68369,3.75,11.25,9.88,3.13
76,69215,3.58,10.75,9.94,3.12
77,70057,3.72,11.16,9.94,3.12
78,70900,3.62,10.85,9.94,3.12
79,71743,3.80,11.41,9.94,3.12
80,72586,3.74,11.23,9.94,3.12
81,73427,3.65,10.95,9.94,3.12
82,74270,3.35,10.04,10.00,3.12
83,75114,3.70,11.09,10.00,3.12
84,75958,3.55,10.65,10.00,3.12
85,76802,3.69,11.06,10.00,3.12
86,77645,3.84,11.51,10.00,3.12
87,78489,3.95,11.86,10.00,3.12
88,79333,3.41,10.22,10.00,3.12
89,80177,3.54,10.62,10.00,3.12
90,81020,3.73,11.20,10.00,3.12
91,81864,3.64,10.92,10.06,3.12
92,82711,3.37,10.12,10.06,3.12
93,83555,3.61,10.84,10.06,3.12
94,84399,3.83,11.50,10.06,3.12
95,85241,3.69,11.07,10.06,3.12
96,86085,3.27,9.82,10.13,3.12
97,86928,3.81,11.42,10.13,3.12
98,87772,3.38,10.15,10.13,3.12
99,88615,3.58,10.73,10.13,3.12
100,89459,3.42,10.26,10.19,3.12
101,90304,3.71,11.13,10.19,3.12
102,91149,3.71,11.14,10.19,3.12
103,91994,3.29,9.88,10.19,3.12
104,92837,3.35,10.04,10.19,3.12
105,93682,3.91,11.72,10.19,3.12
106,94527,3.32,9.97,10.19,3.12
107,95371,3.77,11.32,10.19,3.12
108,96219,3.26,9.79,10.19,3.11
109,97062,3.55,10.65,10.25,3.12
110,97907,3.84,11.51,10.25,3.12
111,98752,3.92,11.76,10.25,3.12
112,99597,3.73,11.20,10.25,3.11
113,100442,3.78,11.33,10.25,3.12
114,101287,3.92,11.77,10.25,3.12
115,102133,3.46,10.37,10.25,3.11
116,102979,3.78,11.33,10.25,3.12
117,103825,3.89,11.67,10.19,3.12
118,104671,3.41,10.23,10.19,3.12
119,105517,3.69,11.06,10.19,3.11
120,106362,3.29,9.88,10.13,3.11
121,107208,3.22,9.65,10.13,3.12
122,108053,3.73,11.20,10.13,3.11
123,108901,3.28,9.85,10.13,3.11
124,109746,3.31,9.93,10.06,3.11
125,110590,3.65,10.95,10.06,3.11
126,111436,3.32,9.96,10.06,3.11
127,112281,3.78,11.35,10.00,3.11
128,113128,3.91,11.72,10.00,3.11
129,113974,3.19,9.57,10.00,3.11
130,114819,3.58,10.75,10.00,3.11
131,115664,3.50,10.50,10.00,3.11
132,116510,3.55,10.66,10.00,3.11
133,117356,3.83,11.48,10.00,3.11
134,118202,3.75,11.26,10.00,3.11
135,119048,3.90,11.70,10.00,3.11
136,119894,3.66,10.98,10.00,3.11
137,120739,3.32,9.97,10.00,3.11
138,121584,3.91,11.74,10.00,3.11
139,122433,3.46,10.37,10.06,3.11
140,123279,3.25,9.74,10.06,3.11
141,124124,3.78,11.33,10.06,3.11
142,124969,3.65,10.94,10.06,3.11
143,125815,3.24,9.71,10.06,3.11
144,126660,3.79,11.38,10.06,3.11
145,127506,3.49,10.48,10.06,3.11
146,128352,3.21,9.62,10.06,3.11
147,129197,3.55,10.65,10.06,3.11
148,130042,3.67,11.00,10.06,3.11
149,130888,3.26,9.77,10.06,3.11
150,131733,3.79,11.38,10.06,3.11
151,132579,3.77,11.32,10.06,3.11
152,133425,3.23,9.68,10.06,3.11
153,134269,3.45,10.34,10.13,3.11
154,135118,3.38,10.13,10.06,3.11
155,135964,3.80,11.39,10.06,3.11
156,136810,3.36,10.09,10.06,3.10
157,137656,3.71,11.14,10.13,3.11
158,138503,3.81,11.44,10.13,3.11
159,139348,3.80,11.39,10.13,3.11
160,140194,3.49,10.48,10.13,3.11
161,141040,3.79,11.36,10.13,3.10
162,141886,3.73,11.19,10.13,3.11
163,142732,3.56,10.67,10.13,3.11
164,143578,3.73,11.20,10.13,3.11
165,144423,3.40,10.19,10.13,3.11
166,145269,3.34,10.01,10.13,3.11
167,146115,3.27,9.82,10.13,3.11
168,146960,3.36,10.07,10.13,3.11
169,147809,3.54,10.63,10.13,3.10
170,148655,3.60,10.79,10.13,3.10
171,149500,3.24,9.72,10.13,3.10
172,150345,3.81,11.44,10.06,3.10
173,151191,3.41,10.22,10.06,3.10
174,152037,3.48,10.45,10.06,3.11
