Seria pomiarowa: 1 (pelne dzialanie)
Opis serii pomiarowej: Małe zachmurzenie, obracanie i wychylanie
Data: 29.09.2021, Godzina poczatkowa: 07:15, Godzina koncowa: 17:45
Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,3975,3.34,10.01,14.38,3.77
2,5574,3.49,10.47,14.19,3.77
3,7174,3.44,10.32,14.00,3.75
4,8773,3.58,10.73,13.88,3.73
5,10373,3.57,10.70,13.75,3.71
6,11974,3.36,10.09,13.56,3.69
7,13575,3.26,9.78,13.38,3.91
8,15174,3.49,10.47,13.13,3.88
9,16775,3.53,10.59,13.00,3.85
10,18378,3.51,10.53,12.81,3.83
11,19981,3.10,9.31,12.69,3.87
12,21581,3.50,10.50,12.50,3.85
13,23183,3.30,9.91,12.38,3.82
14,24783,3.19,9.56,12.25,3.80
15,26384,3.35,10.06,12.06,3.78
16,27986,3.21,9.63,11.94,3.75
17,29587,3.46,10.38,11.81,3.73
18,31188,3.38,10.15,11.63,3.71
19,32790,3.59,10.78,11.50,3.69
20,34393,3.40,10.19,11.38,3.67
21,35994,3.28,9.84,11.25,3.65
22,37595,3.41,10.23,11.13,3.64
23,39196,3.46,10.37,11.00,3.62
24,40798,3.52,10.57,10.88,3.60
25,42400,3.49,10.48,10.75,3.59
26,44005,3.59,10.78,10.63,3.58
27,45606,3.51,10.53,10.56,3.56
28,47208,3.54,10.62,10.44,3.55
29,48809,3.40,10.19,10.38,3.54
30,50412,3.67,11.00,10.31,3.53
31,52014,3.71,11.14,10.25,3.55
32,53615,3.65,10.95,10.19,3.59
33,55217,3.32,9.96,10.13,3.64
34,56818,3.44,10.32,10.13,3.66
35,58420,3.49,10.47,10.06,3.67
36,60021,3.55,10.65,10.00,3.67
37,61623,3.46,10.38,10.00,3.67
38,63225,3.57,10.72,9.94,3.66
39,64826,3.44,10.32,9.94,3.65
40,66426,3.53,10.59,9.88,3.63
41,68027,3.82,11.45,9.88,3.63
42,69627,3.48,10.45,9.88,3.61
