Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
0,1.99,6.08,22.37
1,1.91,5.81,22.44
2,1.95,5.93,22.44
3,1.89,5.77,22.44
4,2.07,6.31,22.44
5,1.76,5.37,22.44
6,2.19,6.68,22.44
7,1.69,5.14,22.44
8,2.08,6.34,22.50
9,1.90,5.80,22.50
10,2.00,6.11,22.50
11,1.91,5.83,22.50
12,2.01,6.14,22.50
13,1.95,5.93,22.50
14,2.04,6.22,22.50
15,1.74,5.29,22.50
16,2.19,6.68,22.50
Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
0,3.19,9.72,41.81
1,3.00,9.15,41.81
2,3.21,9.78,41.81
3,3.11,9.48,41.81
4,3.23,9.84,41.81
5,0.87,2.64,41.81
6,3.16,9.64,41.88
7,3.26,9.93,41.81
8,2.97,9.06,41.81
9,3.24,9.87,41.81
10,2.89,8.81,41.81
11,3.20,9.76,41.81
12,3.10,9.47,41.81
13,3.51,10.70,41.81
14,3.16,9.63,41.81
15,3.16,9.63,41.81
16,3.17,9.67,41.81
17,3.08,9.41,41.81
18,2.69,8.20,41.81
19,4.01,12.22,41.81
20,3.38,10.32,41.81
21,2.94,8.97,41.81
22,3.38,10.30,41.88
23,2.94,8.96,41.88
24,3.38,10.32,41.88
25,3.09,9.44,41.88
26,3.21,9.79,41.88
27,3.11,9.48,41.88
28,3.21,9.79,41.88
29,3.10,9.45,41.88
30,3.21,9.79,41.88
31,3.09,9.44,41.88
32,3.20,9.75,41.88
33,3.11,9.48,41.81
34,3.21,9.79,41.88
35,3.10,9.45,41.88
36,3.21,9.78,41.88
37,3.35,10.21,41.88
38,3.21,9.79,41.88
39,3.26,9.93,41.88
40,3.21,9.78,41.88
41,3.08,9.41,41.88
42,3.21,9.78,41.94
43,3.64,11.09,41.88
44,3.20,9.76,41.88
45,1.96,5.96,41.88
46,1.55,4.73,41.88
47,1.99,6.07,41.88
48,2.99,9.11,41.88
49,2.76,8.42,-127.00
50,1.52,4.65,-127.00
51,3.58,10.91,41.94
52,2.71,8.26,-127.00
53,0.00,0.00,41.88
54,3.14,9.57,41.88
55,2.93,8.93,-127.00
56,4.47,13.64,41.94
57,2.61,7.95,-127.00
58,4.36,13.30,-127.00
59,2.62,8.01,41.94
60,2.72,8.29,41.94
61,2.24,6.83,41.94
62,2.38,7.24,41.94
63,4.08,12.43,41.94
64,3.09,9.44,41.94
65,4.10,12.51,41.94
66,1.97,6.01,41.94
67,3.14,9.59,41.94
68,2.30,7.02,41.94
69,5.00,15.25,41.94
70,0.74,2.27,41.94
71,4.32,13.18,41.94
72,1.75,5.35,41.94
73,1.13,3.44,41.94
74,4.23,12.91,41.88
75,0.74,2.27,41.88
76,2.46,7.51,41.88
77,3.93,12.00,41.88
78,4.68,14.28,41.88
79,3.01,9.18,41.81
80,2.11,6.42,41.81
81,4.27,13.03,41.81
82,2.41,7.35,41.81
83,3.87,11.81,41.81
84,1.21,3.68,41.81
85,4.73,14.43,41.81
86,1.55,4.74,41.81
87,4.75,14.47,41.81
88,1.56,4.77,41.81
89,4.19,12.79,41.81
90,4.04,12.31,41.81
91,3.25,9.90,41.81
92,3.42,10.42,41.81
93,2.08,6.35,41.75
94,1.61,4.92,41.75
95,3.78,11.54,41.75
96,1.64,4.99,41.69
97,3.14,9.59,41.69
98,1.00,3.04,41.69
99,3.58,10.91,41.69
100,3.31,10.11,41.69
101,2.38,7.26,41.63
102,2.14,6.51,41.69
103,3.89,11.85,41.63
104,3.78,11.52,41.63
105,3.94,12.03,41.63
106,2.67,8.15,41.63
107,4.11,12.54,41.56
108,3.47,10.57,41.56
109,1.37,4.17,41.56
110,3.67,11.18,41.50
111,1.38,4.22,41.50
112,4.26,12.98,41.50
