Seria pomiarowa: Próba działania zapisywania
Opis serii pomiarowej: Próba działania zapisywania
Data: 19.09.2021, Godzina poczatkowa: 14:45, Godzina koncowa: --:--, Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,1008,1.04,3.16,20.37,4.94
2,2499,1.07,3.26,20.37,4.95
3,3989,1.03,3.15,20.37,4.95
4,5480,1.09,3.32,20.37,4.95
5,6971,1.06,3.23,20.37,4.95
6,8461,1.13,3.44,20.37,4.87
7,10059,1.51,4.61,20.44,4.50
8,11660,1.42,4.34,20.44,4.53
9,13259,1.30,3.97,20.44,4.56
10,14859,1.83,5.59,20.44,4.53
11,16463,1.79,5.47,20.44,4.54
12,18064,2.29,6.99,20.44,4.52
13,19664,2.46,7.51,20.44,4.52
14,21266,2.43,7.41,20.44,4.51
15,22866,2.07,6.31,20.44,4.51
16,24468,2.53,7.71,20.50,4.50
17,26068,2.55,7.77,20.50,4.51
18,27669,2.14,6.51,20.44,4.50
19,29271,1.82,5.55,20.44,4.43
20,30871,1.42,4.32,20.50,4.40
21,32472,1.72,5.25,20.44,4.60
22,33965,1.42,4.34,20.44,4.61
23,35458,1.01,3.07,20.44,4.61
24,36951,1.02,3.12,20.44,4.61
25,38444,1.21,3.70,20.44,4.60
26,39937,1.13,3.44,20.44,4.60
27,41432,1.22,3.71,20.44,4.60
28,42925,1.00,3.04,20.44,4.60
29,44418,0.82,2.50,20.44,4.61
30,45911,0.86,2.62,20.44,4.61
31,47403,1.01,3.09,20.37,4.60
32,48896,0.92,2.80,20.37,4.60
33,50388,0.77,2.34,20.37,4.61
34,51881,0.97,2.97,20.37,4.60
35,53374,0.82,2.50,20.37,4.61
36,54867,1.05,3.19,20.37,4.60
37,56359,0.89,2.73,20.37,4.61
38,57852,0.82,2.50,20.37,4.60
39,59345,1.14,3.47,20.37,4.61
40,60946,0.97,2.95,20.37,4.61
41,62439,1.10,3.37,20.37,4.60
42,63932,1.26,3.85,20.37,4.62
43,65425,1.06,3.23,20.37,4.61
44,66921,1.07,3.25,20.37,4.60
45,68413,1.05,3.21,20.37,4.60
46,69906,0.88,2.68,20.37,4.61
47,71399,1.25,3.82,20.37,4.61
48,72892,1.24,3.79,20.37,4.61
49,74385,0.77,2.36,20.37,4.61
50,75878,0.75,2.30,20.37,4.61
51,77370,1.13,3.46,20.37,4.60
52,78863,1.17,3.58,20.37,4.61
53,80356,1.16,3.53,20.37,4.61
54,81849,1.01,3.07,20.37,4.61
55,83342,1.00,3.04,20.37,4.61
56,84835,0.89,2.73,20.37,4.60
57,86328,1.06,3.22,20.37,4.61
58,87820,0.76,2.33,20.37,4.62
59,89313,0.97,2.95,20.37,4.61
60,90809,1.16,3.53,20.37,4.61
61,92302,0.76,2.31,20.37,4.62
62,93795,0.89,2.71,20.37,4.61
63,95287,1.25,3.82,20.37,4.61
64,96780,1.30,3.95,20.37,4.61
65,98273,1.13,3.46,20.37,4.61
66,99766,0.95,2.89,20.37,4.61
67,101259,1.13,3.46,20.37,4.61
68,102753,1.27,3.86,20.37,4.62
69,104247,1.08,3.28,20.37,4.61
70,105740,1.09,3.31,20.37,4.62
71,107234,0.88,2.70,20.37,4.61
72,108728,0.91,2.77,20.37,4.62
73,110222,0.78,2.39,20.37,4.62
74,111716,1.41,4.29,20.37,4.61
75,113210,1.22,3.73,20.37,4.62
76,114707,0.88,2.70,20.37,4.62
77,116201,1.24,3.79,20.37,4.62
78,117694,1.16,3.53,20.37,4.62
79,119188,1.06,3.22,20.37,4.62
80,120682,1.17,3.56,20.37,4.61
81,122176,1.13,3.44,20.37,4.62
82,123670,1.27,3.88,20.37,4.62
83,125164,0.87,2.67,20.37,4.62
84,126766,1.37,4.19,20.37,4.62
85,128260,1.25,3.82,20.37,4.63
86,129754,1.26,3.85,20.37,4.63
87,131248,0.98,2.98,20.31,4.63
88,132742,0.94,2.86,20.31,4.62
89,134236,0.86,2.61,20.31,4.63
90,135730,1.24,3.79,20.31,4.63
91,137224,1.17,3.56,20.31,4.63
92,138720,1.40,4.26,20.31,4.63
93,140214,0.91,2.77,20.31,4.63
94,141708,1.07,3.26,20.31,4.62
95,143309,1.20,3.67,20.31,4.63
96,144803,0.97,2.95,20.31,4.63
97,146297,0.87,2.67,20.31,4.63
98,147791,0.68,2.07,20.31,4.62
99,149285,0.84,2.56,20.31,4.63
100,150779,1.00,3.04,20.31,4.66
101,152274,0.88,2.70,20.31,4.62
102,153877,1.05,3.21,20.31,4.63
103,155372,0.85,2.58,20.31,4.62
104,156867,1.20,3.67,20.31,4.52
105,158471,2.88,8.80,20.31,4.62
106,159966,1.06,3.23,20.31,4.63
107,161568,0.90,2.74,20.31,4.63
108,163174,0.76,2.33,20.31,4.64
109,164777,2.14,6.53,20.31,4.61
110,166380,1.87,5.71,20.31,4.62
111,167984,0.96,2.92,20.31,4.65
112,169586,0.85,2.59,20.31,4.71
113,171190,0.48,1.46,20.31,4.63
114,172685,1.76,5.38,20.31,4.64
115,174287,1.52,4.65,20.31,4.64
116,175891,0.85,2.58,20.31,4.62
117,177494,1.30,3.98,20.31,4.62
118,178989,1.60,4.87,20.31,4.60
119,180592,1.50,4.56,20.25,4.62
120,182087,1.20,3.67,20.25,4.64
121,183582,0.91,2.79,20.31,4.62
122,185077,1.48,4.50,20.31,4.66
123,186680,3.41,10.39,20.31,4.59
124,188179,1.04,3.18,20.31,4.60
125,189782,0.95,2.91,20.31,4.57
126,191277,1.11,3.40,20.31,4.62
127,192772,1.07,3.26,20.31,4.64
128,194375,2.47,7.54,20.25,4.64
129,195978,0.88,2.70,20.25,4.63
130,197473,1.25,3.82,20.25,4.64
131,198968,1.52,4.65,20.25,4.67
