Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrót dokoła osi, duże nasłonecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar, Dzielnik, Panel, Temperatura, SredniaFoto
1,2.01,6.14,21.87,4.89
2,2.04,6.23,21.94,4.56
3,1.87,5.69,21.94,4.55
4,2.07,6.32,21.94,4.56
5,1.93,5.87,21.94,4.56
6,1.94,5.90,21.94,4.56
7,1.99,6.08,21.94,4.56
8,2.09,6.37,21.94,4.57
9,1.95,5.93,21.94,4.56
10,2.05,6.25,21.94,4.56
11,2.08,6.35,21.94,4.57
12,2.18,6.65,21.94,4.56
13,1.88,5.72,21.94,4.56
14,2.10,6.40,21.94,4.56
15,2.08,6.35,21.94,4.56
16,1.85,5.65,21.94,4.56
17,2.04,6.22,21.94,4.56
18,2.06,6.29,21.94,4.56
19,2.04,6.22,21.94,4.56
20,2.11,6.44,21.94,4.56
21,1.94,5.90,21.94,4.56
22,1.96,5.96,21.94,4.56
23,1.99,6.08,22.00,4.56
24,2.10,6.40,22.00,4.56
25,2.08,6.35,22.00,4.56
26,1.99,6.07,22.00,4.56
27,2.06,6.29,21.94,4.56
28,1.91,5.81,22.00,4.56
29,1.91,5.81,21.94,4.56
30,2.07,6.32,22.00,4.56
31,1.96,5.98,22.00,4.56
32,2.05,6.25,22.00,4.56
33,1.95,5.93,22.00,4.56
34,1.95,5.93,22.00,4.56
35,2.04,6.23,22.00,4.56
36,2.03,6.19,22.00,4.56
37,1.98,6.05,22.00,4.56
38,1.92,5.86,22.00,4.56
39,2.07,6.31,22.00,4.56
40,2.02,6.17,22.00,4.56
41,1.86,5.68,22.00,4.56
42,1.87,5.69,22.00,4.56
43,1.78,5.44,22.00,4.56
44,2.15,6.54,22.00,4.56
45,2.07,6.31,22.00,4.56
46,1.91,5.81,22.00,4.56
47,2.23,6.81,22.00,4.56
48,1.96,5.98,22.00,4.56
49,1.88,5.72,22.00,4.56
50,1.99,6.07,22.00,4.56
51,2.10,6.41,22.00,4.56
52,2.10,6.41,22.00,4.56
53,1.84,5.62,22.00,4.56
54,1.97,6.02,22.00,4.56
55,2.06,6.28,22.00,4.56
56,1.92,5.86,22.00,4.56
57,2.06,6.28,22.00,4.56
58,2.00,6.11,22.00,4.56
59,1.91,5.83,22.00,4.56
60,1.91,5.81,22.00,4.56
61,1.96,5.99,22.00,4.55
62,2.12,6.47,22.00,4.56
63,1.91,5.83,22.00,4.56
64,2.22,6.78,22.00,4.56
65,2.10,6.41,22.00,4.56
66,2.03,6.20,22.00,4.56
67,1.85,5.63,22.00,4.56
68,1.80,5.49,22.06,4.56
69,2.20,6.71,22.00,4.56
70,2.02,6.17,22.00,4.56
71,2.09,6.38,22.06,4.56
72,2.08,6.34,-127.00,4.56
73,2.01,6.13,22.06,4.56
74,2.07,6.32,22.06,4.56
75,2.18,6.65,22.06,4.56
76,2.17,6.63,22.06,4.55
77,4.46,13.60,22.06,4.58
78,0.41,1.24,22.06,4.59
79,2.15,6.54,22.06,4.56
80,1.92,5.84,22.06,4.50
81,4.07,12.42,22.06,4.49
82,1.16,3.53,22.06,4.57
83,1.25,3.80,22.06,4.54
84,1.35,4.13,22.06,4.54
85,0.97,2.97,22.06,4.54
86,3.48,10.61,22.06,4.53
87,2.07,6.32,22.06,4.55
88,2.05,6.25,22.06,4.57
89,2.04,6.23,22.06,4.53
90,2.63,8.02,22.06,4.54
91,1.71,5.22,22.06,4.56
92,2.00,6.11,22.06,4.56
93,1.80,5.50,22.06,4.54
94,0.31,0.95,22.06,4.55
95,0.48,1.46,22.06,4.53
96,2.02,6.17,22.06,4.54
