Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrÃ³t dokoÅ‚a osi, duÅ¼e nasÅ‚onecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,1323,1.55,4.73,22.50,4.95
2,2813,1.48,4.52,22.50,4.96
3,4304,1.51,4.59,22.56,4.96
4,5795,1.53,4.68,22.56,4.96
5,7285,1.57,4.79,22.56,4.72
6,8885,1.90,5.78,22.62,4.29
7,10483,1.88,5.72,22.62,4.31
8,12084,2.07,6.32,22.62,4.38
9,13683,1.57,4.80,22.62,4.20
10,15286,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
73,204450,1.50,4.58,22.56,4.63
74,206053,1.93,5.89,22.56,4.62
75,207657,1.18,3.59,22.56,4.64
76,209260,0.67,2.04,22.56,4.64
77,210862,1.74,5.29,22.56,4.63
78,212464,1.64,4.99,22.56,4.62
79,214067,3.64,11.11,22.56,4.55
80,215669,2.15,6.56,22.56,4.57
81,217272,2.91,8.87,22.62,4.55
82,218873,2.80,8.53,22.56,4.53
83,220476,2.24,6.83,22.56,4.45
84,222078,1.83,5.59,22.62,4.47
85,223680,2.67,8.14,22.62,4.46
86,225283,1.45,4.41,22.62,4.35
87,226884,2.81,8.56,22.62,4.38
88,228487,0.46,1.40,22.62,4.45
89,230089,1.39,4.25,22.62,4.49
90,231691,1.17,3.58,22.62,4.49
91,233295,3.38,10.30,22.62,4.37
92,234899,0.22,0.69,22.62,4.39
93,236502,1.90,5.78,22.62,4.38
94,238103,2.78,8.47,22.62,4.42
95,239706,2.32,7.07,22.62,4.46
96,241307,1.61,4.92,22.62,4.43
97,242910,1.80,5.50,22.62,4.43
98,244512,2.81,8.57,22.56,4.27
99,246114,1.46,4.44,22.62,4.40
100,247716,2.78,8.48,22.62,4.50
101,249319,0.79,2.40,22.62,4.55
102,250923,1.40,4.26,22.62,4.59
103,252526,1.44,4.40,22.56,4.62
104,254129,1.39,4.25,22.56,4.60
105,255732,2.16,6.57,22.56,4.61
106,257336,0.90,2.76,22.56,4.63
107,258941,1.86,5.68,22.56,4.60
108,260544,1.85,5.65,22.56,4.61
109,262148,1.75,5.34,22.56,4.64
110,263751,0.75,2.28,22.56,4.62
111,265246,0.65,1.97,22.56,4.63
112,266849,1.82,5.56,22.56,4.62
113,268452,1.84,5.62,22.56,4.63
