Seria pomiarowa: Próba działania zapisywania
Opis serii pomiarowej: Próba działania zapisywania
Data: 19.09.2021, Godzina poczatkowa: 15:02, Godzina koncowa: 16:07, Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,1253,2.33,7.11,21.81,4.78
2,2851,2.23,6.80,21.87,4.53
3,4342,1.49,4.53,21.87,4.51
4,5833,3.09,9.42,21.87,4.51
5,7323,2.45,7.48,21.87,4.53
6,8923,2.46,7.50,21.87,4.53
7,10521,2.70,8.24,21.87,4.51
8,12013,2.70,8.24,21.87,4.51
9,13505,1.81,5.52,21.87,4.50
10,15105,3.51,10.70,21.87,4.56
11,16602,1.32,4.04,21.87,4.50
12,18202,2.86,8.72,21.87,4.39
13,19803,3.64,11.11,21.87,4.38
14,21405,2.57,7.84,21.87,4.43
15,23006,2.30,7.02,21.94,4.40
16,24607,3.07,9.36,21.87,4.39
17,26208,2.08,6.35,21.94,4.40
18,27808,2.19,6.69,21.87,4.40
19,29410,2.27,6.92,21.94,4.40
20,31010,2.28,6.96,21.94,4.40
21,32611,2.68,8.17,21.94,4.56
22,34104,2.59,7.89,21.94,4.55
23,35705,0.95,2.91,21.94,4.57
24,37198,2.40,7.32,21.94,4.55
25,38799,3.48,10.63,21.94,4.55
26,40400,2.47,7.53,21.94,4.56
27,41896,2.41,7.36,21.94,4.54
28,43497,3.13,9.54,21.94,4.55
29,45099,1.09,3.32,21.94,4.54
30,46699,2.38,7.24,21.94,4.54
31,48192,3.19,9.73,21.94,4.55
32,49685,2.37,7.22,21.94,4.54
33,51178,3.62,11.05,21.94,4.55
34,52671,3.55,10.84,21.94,4.54
35,54274,2.29,6.98,21.94,4.55
36,55767,1.68,5.13,21.94,4.54
37,57367,2.40,7.32,21.94,4.54
38,58968,2.51,7.66,21.94,4.54
39,60569,3.71,11.33,21.94,4.53
40,62171,2.45,7.48,21.94,4.52
41,63664,3.40,10.38,21.94,4.52
42,65158,1.36,4.14,21.94,4.55
43,66756,1.43,4.35,21.94,4.52
44,68249,2.80,8.53,21.94,4.52
45,69742,2.42,7.38,21.94,4.52
46,71343,2.33,7.10,21.94,4.52
47,72836,2.90,8.85,21.94,4.51
48,74329,3.69,11.25,21.94,4.55
49,75930,2.22,6.78,21.94,4.51
50,77423,1.41,4.29,21.94,4.52
51,79025,2.46,7.51,21.94,4.51
52,80517,2.77,8.45,21.94,4.50
53,82010,3.53,10.78,21.94,4.53
54,83612,2.68,8.18,21.94,4.52
55,85104,3.17,9.67,21.94,4.52
56,86597,2.48,7.57,21.94,4.52
57,88090,2.66,8.12,21.94,4.52
58,89583,2.37,7.23,21.94,4.51
59,91184,2.48,7.57,21.94,4.52
60,92680,2.47,7.54,21.94,4.52
61,94173,2.95,9.00,21.94,4.51
62,95666,2.17,6.60,21.94,4.51
63,97266,2.48,7.56,21.94,4.51
64,98759,1.17,3.56,21.94,4.52
65,100252,2.52,7.68,21.94,4.52
66,101746,2.50,7.63,21.94,4.52
67,103240,2.75,8.38,21.94,4.52
68,104733,2.01,6.14,21.94,4.52
69,106336,2.41,7.35,21.94,4.52
70,107830,1.46,4.46,21.94,4.51
71,109431,3.09,9.44,21.94,4.51
72,110925,2.43,7.41,21.94,4.52
73,112528,3.18,9.70,21.94,4.52
74,114129,2.14,6.53,21.94,4.52
75,115623,3.05,9.30,21.94,4.51
76,117121,2.65,8.08,21.94,4.52
77,118614,3.01,9.17,21.94,4.44
78,120216,2.46,7.50,21.94,4.52
79,121710,1.49,4.53,21.94,4.53
80,123312,2.25,6.87,21.94,4.52
81,124806,2.72,8.30,21.94,4.52
82,126300,2.78,8.48,21.94,4.53
83,127794,2.80,8.53,21.94,4.51
84,129395,2.45,7.47,21.94,4.53
85,130889,2.94,8.96,21.94,4.53
86,132383,2.48,7.57,21.94,4.53
87,133986,2.43,7.41,21.94,4.53
88,135480,2.47,7.54,21.94,4.53
89,136974,1.81,5.53,21.94,4.52
90,138467,2.46,7.51,21.94,4.53
91,139961,2.46,7.50,21.94,4.53
92,141458,2.46,7.50,21.94,4.53
93,142952,2.41,7.36,21.94,4.54
94,144446,2.65,8.09,21.94,4.53
95,145940,2.51,7.66,21.94,4.53
96,147542,2.29,6.99,21.94,4.54
97,149144,2.46,7.51,21.94,4.53
98,150746,2.77,8.45,21.94,4.55
99,152240,2.47,7.53,21.94,4.54
100,153734,2.13,6.50,21.94,4.53
101,155229,2.33,7.11,21.94,4.53
102,156831,1.20,3.65,21.94,4.53
103,158326,1.50,4.56,21.94,4.57
104,159930,2.45,7.47,21.94,4.54
105,161425,2.61,7.98,21.94,4.54
106,162920,2.76,8.41,21.94,4.56
107,164523,3.14,9.59,21.94,4.54
108,166129,2.41,7.35,21.94,4.56
109,167732,2.41,7.36,21.94,4.54
110,169227,2.12,6.45,21.94,4.53
111,170722,2.37,7.22,21.94,4.53
112,172217,1.17,3.56,21.94,4.53
113,173820,2.59,7.90,21.94,4.54
114,175315,2.21,6.74,21.94,4.55
115,176811,2.48,7.56,21.94,4.54
116,178306,2.42,7.38,21.94,4.54
117,179801,2.35,7.17,21.94,4.55
118,181296,2.38,7.24,21.94,4.55
119,182898,2.32,7.08,21.94,4.55
120,184393,2.25,6.86,21.94,4.55
121,185888,2.51,7.66,21.94,4.56
122,187383,2.34,7.13,21.94,4.55
123,188881,2.31,7.05,21.94,4.55
124,190376,2.34,7.14,21.94,4.52
125,191872,1.28,3.91,21.94,4.55
126,193367,2.36,7.19,21.94,4.55
127,194862,2.37,7.22,21.94,4.52
128,196357,2.87,8.77,21.94,4.53
