Seria pomiarowa: 2 (samo obracanie, kąt 35 stopni)
Opis serii pomiarowej: Małe zachmurzenie, samo obracanie (kąt 35 stopni)
Data: 03.10.2021, Godzina poczatkowa: 7:15, Godzina koncowa: 17:45
Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,4193,3.60,10.81,8.56,3.52
2,5033,3.56,10.69,8.63,3.51
3,5874,3.52,10.56,8.63,3.51
4,6714,3.43,10.28,8.69,3.52
5,7663,3.76,11.29,8.69,3.59
6,8611,3.66,10.98,8.75,3.51
7,9452,3.58,10.75,8.75,3.50
8,10292,3.65,10.94,8.81,3.50
9,11133,3.86,11.57,8.81,3.50
10,11978,3.40,10.21,8.81,3.50
11,12820,3.50,10.51,8.81,3.50
12,13663,3.69,11.07,8.88,3.50
13,14505,3.80,11.41,8.88,3.50
14,15348,3.48,10.45,8.88,3.50
15,16191,3.42,10.25,8.94,3.50
16,17033,3.79,11.38,8.94,3.50
17,17875,3.49,10.47,8.94,3.49
18,18718,3.47,10.40,8.94,3.50
19,19561,3.68,11.03,9.00,3.50
20,20404,3.51,10.54,9.00,3.50
21,21245,3.48,10.45,9.00,3.49
22,22088,3.67,11.00,9.00,3.50
23,22931,3.69,11.07,9.00,3.50
24,23774,3.30,9.90,9.00,3.50
25,24615,3.44,10.31,9.06,3.50
26,25460,3.49,10.47,9.06,3.50
27,26303,3.69,11.07,9.06,3.50
28,27146,3.50,10.51,9.06,3.50
29,27987,3.73,11.20,9.06,3.50
30,28830,3.84,11.52,9.06,3.50
31,29673,3.71,11.13,9.06,3.50
32,30516,3.64,10.91,9.06,3.49
33,31358,3.48,10.44,9.13,3.49
34,32200,3.83,11.48,9.13,3.49
35,33043,3.41,10.22,9.13,3.49
36,33886,3.72,11.16,9.13,3.50
37,34728,3.74,11.22,9.13,3.49
38,35571,3.73,11.19,9.13,3.49
39,36413,3.45,10.34,9.13,3.49
40,37256,3.70,11.10,9.19,3.49
41,38098,3.39,10.18,9.19,3.49
42,38941,3.74,11.23,9.19,3.49
43,39786,3.75,11.25,9.19,3.49
44,40629,3.47,10.40,9.19,3.49
45,41472,3.59,10.78,9.19,3.49
46,42314,3.75,11.25,9.19,3.49
47,43157,3.51,10.53,9.19,3.49
48,43999,3.44,10.32,9.19,3.49
49,44841,3.37,10.12,9.19,3.49
50,45684,3.74,11.23,9.19,3.49
51,46527,3.57,10.70,9.25,3.49
52,47370,3.49,10.47,9.19,3.49
53,48211,3.60,10.81,9.19,3.49
54,49054,3.72,11.17,9.19,3.49
55,49897,3.75,11.25,9.25,3.49
56,50740,3.50,10.50,9.25,3.49
57,51582,3.51,10.54,9.25,3.49
58,52424,3.41,10.22,9.25,3.49
59,53270,3.74,11.23,9.25,3.49
60,54113,3.54,10.63,9.25,3.49
61,54956,3.48,10.43,9.25,3.49
62,55797,3.43,10.29,9.25,3.49
63,56640,3.52,10.56,9.25,3.49
64,57483,3.47,10.41,9.25,3.49
65,58326,3.51,10.54,9.25,3.49
66,59168,3.56,10.69,9.25,3.49
67,60010,3.69,11.07,9.25,3.49
68,60853,3.77,11.30,9.25,3.49
69,61696,3.73,11.20,9.25,3.49
70,62538,3.42,10.26,9.25,3.49
71,63381,3.78,11.33,9.25,3.49
72,64223,3.75,11.25,9.25,3.49
73,65065,3.74,11.22,9.31,3.48
74,65908,3.40,10.21,9.31,3.49
75,66751,3.31,9.94,9.31,3.49
76,67595,3.78,11.35,9.31,3.48
77,68438,3.71,11.13,9.31,3.49
78,69280,3.60,10.81,9.31,3.48
79,70123,3.32,9.97,9.31,3.49
80,70964,3.30,9.91,9.31,3.48
81,71805,3.48,10.45,9.31,3.49
82,72648,3.58,10.73,9.31,3.48
83,73491,3.68,11.04,9.38,3.48
84,74334,3.35,10.06,9.31,3.49
85,75175,3.59,10.76,9.38,3.48
86,76018,3.55,10.66,9.38,3.49
87,76861,3.51,10.53,9.31,3.48
88,77704,3.63,10.89,9.31,3.48
89,78546,3.48,10.43,9.31,3.48
90,79389,3.82,11.45,9.31,3.48
91,80231,3.68,11.04,9.31,3.48
92,81077,3.55,10.65,9.31,3.48
93,81920,3.35,10.06,9.38,3.48
94,82762,3.42,10.25,9.38,3.48
95,83604,3.57,10.72,9.38,3.48
